Rank,Address,Balance (),Pool Share (%),Reward Allocation (),Status
1,0xea692f785f00ca2b6512bceff7dbb4ce107db29a,39467117,5.00%,500000,CAPPED
2,0x6f25a9e1e677616c1bf7ab54b470b0c82839adb4,32179126,5.00%,500000,CAPPED
3,0x54f7283cb364178f0872180e9e661c60e6a63c31,31093376,5.00%,500000,CAPPED
4,0x42716e51285a9fafde6ae836bfd8f7f8cc88c7ea,22305454,5.00%,500000,CAPPED
5,0x7598fe2e540922d0a6e9a884e44cb257c6c5ef64,20852296,4.98%,497677,PROPORTIONAL
6,0xe87d33e05459f36e7ca0ab6ca4272d21975140ed,15692577,3.75%,374531,PROPORTIONAL
7,0xf85fc2732dfd5446ffbfc63f33a4d4381a5e8123,15085098,3.60%,360033,PROPORTIONAL
8,0x054528f2e8403bed52461bb61d037fd41fc839f1,14266857,3.41%,340504,PROPORTIONAL
9,0x5ce2d7ab5c5a5d25d6dfafda1318ce79e87ffa31,13939822,3.33%,332699,PROPORTIONAL
10,0xb72d088def563c456d6090019d9b5fe72fe7823e,13109841,3.13%,312890,PROPORTIONAL
11,0xda0c060251d9110c53c3e002494d15d4ee8fde21,12650100,3.02%,301917,PROPORTIONAL
12,0x94ba5cfa7b870c104f3441e033cc935ea8f016f1,12333606,2.94%,294363,PROPORTIONAL
13,0x630cbe9b98a286af4df042674a133dddc0fe9faa,11841797,2.83%,282625,PROPORTIONAL
14,0xf4594393bff5753d09b6e3bd4d51b76d2789a14e,11734909,2.80%,280074,PROPORTIONAL
15,0x7ae3b30a504e153b2bc8980fe0599882fe9ea671,11017289,2.63%,262947,PROPORTIONAL
16,0xa253a12971d8da188d0a33f4bc699360ff3261fd,10773555,2.57%,257130,PROPORTIONAL
17,0xb3c5beb9b12a5b3197ee4c78cae96a711b5296b2,10755357,2.57%,256696,PROPORTIONAL
18,0xe500f613ed3cdcbebb01fee138e294370333cf2c,10745617,2.56%,256463,PROPORTIONAL
19,0x2d4e1095a876afacfe1b84bc052758360641aae0,10004264,2.39%,238769,PROPORTIONAL
20,0xc56ac3751f741ec25d7f9e27ebcee84f921cedd3,10000927,2.39%,238690,PROPORTIONAL
21,0x5bc95ee1a2a849e631c99fefe5be297e4dadc342,8761297,2.09%,209104,PROPORTIONAL
22,0x1d78fb87cc62febe02ca05befcc30e71ca04810c,8509307,2.03%,203090,PROPORTIONAL
23,0xa0bdef3c7bde3654b574ec401e91612340bade09,7017275,1.67%,167480,PROPORTIONAL
24,0x9c347b93dfddd338af24f4bdcba8559623c801f7,6826340,1.63%,162923,PROPORTIONAL
25,0xb15b9040b52fc54221ae3896c55cbe903635acae,6477985,1.55%,154609,PROPORTIONAL
26,0x7404aab275b3d2d2404e00e650c25f995fa43876,6311299,1.51%,150630,PROPORTIONAL
27,0x8b8d77c89d33879e9ad4cf72ed4f4f196358f837,6235387,1.49%,148819,PROPORTIONAL
28,0xa27451c93153346b33af5ea89f7e91c219b3761b,6155249,1.47%,146906,PROPORTIONAL
29,0xbdb1bec07df702f5d8a8feecb3cb39b64a441f3f,6089589,1.45%,145339,PROPORTIONAL
30,0xbf004bff64725914ee36d03b87d6965b0ced4903,6044141,1.44%,144254,PROPORTIONAL
31,0xf983078505d9f40d7f6b1ec6f2371705b561b2e1,5513680,1.32%,131594,PROPORTIONAL
32,0x5bfe70557184ae798085e9f9469d57f51dabbcfe,5393450,1.29%,128724,PROPORTIONAL
33,0x76356ab75b603a839b036dde17ebd42cb283ddc5,5302061,1.27%,126543,PROPORTIONAL
34,0x4c91d3bed372c11795b9ce9a9017dfe447bf050a,5284607,1.26%,126127,PROPORTIONAL
35,0x1d741c45ec79162b5ed5ac81c0950dd80f83f300,5161018,1.23%,123177,PROPORTIONAL
36,0xb89c52ea060b1360f924dae174982f01433d88bf,5155192,1.23%,123038,PROPORTIONAL
37,0xb10d893441b96b9c25231d42591d64cf36484e04,5100000,1.22%,121721,PROPORTIONAL
38,0x517e74f975f956f36c4fe8bf908525ebeba96f5c,5038724,1.20%,120258,PROPORTIONAL
39,0x8d5362832f9c12ee75b89c41f890d8ed5095ad08,5009251,1.20%,119555,PROPORTIONAL
40,0x4ce021795aa70d084bbae996bf9d9adfd5a8fbe5,5004278,1.19%,119436,PROPORTIONAL
41,0x3c67b9d2da3403efe6a88759a5180995dd33c2a1,5000000,1.19%,119334,PROPORTIONAL
42,0xe021658b8f06c4aad01e269bc3ccb70a3ca51142,5000000,1.19%,119334,PROPORTIONAL
