Rank,Address,NFT_Count,Token_IDs,Reward_VIBE,Share_Percent,Leaf
1,0x07eba7dff730f58e932c5730bad48e757e188fc3,2,"189;310",23020,0.9208%,0x895f0b4de59fc2082f5b195adff10dedb898aa1b0bb5a77a2dad0815b6a2eec0
2,0x000596b446392533eac8fff0773c66ae57bc1d3f,1,"137",22935,0.9174%,0x5dd6318746d176a46e7a8a29afdc53f1c6c1c802455ecd2b7610451763c82879
3,0x012c0bce561fbcb733f321e007c9b6d1e27785ed,1,"260",22935,0.9174%,0xe57ee8ae2f93aa021e4e08db4b575516b6574158769abe3753189333b7dda36d
4,0x01fb3dfbd0661aa7ad086c01d3d7c9931b9d3dbe,1,"320",22935,0.9174%,0x1431458de07f019bff5cc640ec22312547001600fcf83fff8781818a5b622c15
5,0x09ed7f2f6dd73c90953bece6bca50c6ad9c4c374,1,"293",22935,0.9174%,0x1ff0895ba014137b6ca1832bef4766ba291e1f82f30d312ff1e435aa7b41e44c
6,0x0aba8264321660d2c170bc77808d1f142881bac1,1,"205",22935,0.9174%,0x424ba2d5376bc9fee75e86ce6aea2cfc8fd7e0cbf4985503062ce5a6ec14cc74
7,0x1761042b43590a755478d1325b6424885e6ab8b5,1,"294",22935,0.9174%,0xd24507a6407b0efb9a4a464eaaa01ca17c3a6c75728d9c3e0c12cac441722432
8,0x1b64e3f93397eeeb076defb5b922b97dee4d6996,1,"299",22935,0.9174%,0x23630ccd4485211b4a8352fa86d678af5fd2c79851e2e797be88be36eb355112
9,0x1d741c45ec79162b5ed5ac81c0950dd80f83f300,1,"331",22935,0.9174%,0x54aa6ad750305452269aaeaa7cced0bef5cc3e3765632ac74eb2dbe3bcfd5f94
10,0x1e75bbbd34ecf784b5cfacd484ebb30ce01cfaf4,1,"314",22935,0.9174%,0xbbeb2ab045589df0cf9dc6dd10f978188e2d06c26a0a813f2f2050706b449e75
11,0x1f1ec548b66a911e7d56422a729bb47a089fb927,1,"87",22935,0.9174%,0xf9effcd453bd9fd041b2750cfa4863435bba5ff38500a3551748f89eda8f8750
12,0x1fbdfbb325336a2058cffe82fef86d9ac7e9f438,1,"177",22935,0.9174%,0x5a81584c12c0b66e5918d62b917358b1e92957cc8081078338b6cb685cb5d354
13,0x2211d1d0020daea8039e46cf1367962070d77da9,1,"4",22935,0.9174%,0x04aede867bc68a33c2cccc6f4e2542e1ca28adec6f579e3a461a1e9fa11f2cfd
14,0x29270c3ca483433e0a6d070db6ead349654b542d,1,"158",22935,0.9174%,0x109955e40ccb5726665c8bf478542d2f2d50dee6ddee34a1d41f0f83866c0cb6
15,0x2975f2a48b62266ed835b6003f5bb37482479c1a,1,"65",22935,0.9174%,0xf6addf270e2d608ef052d920883ed0af9ce88e4e5c864542af90a21560c04fe3
16,0x2d4e1095a876afacfe1b84bc052758360641aae0,1,"210",22935,0.9174%,0xe18130a19b7e896a8453fbd76ab7b5270c8c6bb0d5b01818e7dbabed4cb11e84
17,0x2d8077c1673ce8b66eaa2f234ff68d99573b8891,1,"165",22935,0.9174%,0x6a64247fe499287340bef3e6c943fbeaeb1aabfcdc0bd3e674bfb530e2693406
18,0x2ed27928f116323742dfa0af99dacd680cd7c495,1,"287",22935,0.9174%,0xbd02455518d64077621cde9c6332ce613f90386b081b67e23e77eee5181b5ff1
19,0x309a986f7cde387e48b5b11ac30c896aba173e54,1,"157",22935,0.9174%,0x7f4eb3c5bf9eeb11407952765cad8e30664b7f8fd5ec700191b440700dcfee51
20,0x341322640a06925b554c71da4efb8dd38dc621bf,1,"80",22935,0.9174%,0x1f15e5d3274435b7242e4b09a64c38185aa9a66454bbc4b32093e348b49e7950
21,0x35f4b9acd41584df18e88cc7ebfbd2ea1e270f62,1,"40",22935,0.9174%,0xef6b5cddb5feb1b93c6c49d6f90daacface498b26e6cfc9169934f4c8442494c
22,0x3e76041b5c75fd663da02651e1ebfa46184d2bdf,1,"164",22935,0.9174%,0x61f45f65bfd9452c782b3dcb31985b00b860a2646caeb40ec7a9e472ec348858
23,0x40c20369917f9098367007a173b031ccdea2a17d,1,"199",22935,0.9174%,0x140065ddcc6e0a9fb251080f2fb18bb89f4452bb5d9839160a56c309ae6e42e9
24,0x41697670106fb4b8bd4f08ecf3ef64c98ec8e8ec,1,"59",22935,0.9174%,0x29386133af21ba76a0c47c8495ddd26ec71149408636723ad307ed7d00b4334b
25,0x4250bcb497181ad9521f78337d68da1a85afa3c5,1,"71",22935,0.9174%,0x864b2dc6467b1114425dbe0eadb041fa96eb5404dd12943ad6f89cb14937f982
26,0x42716e51285a9fafde6ae836bfd8f7f8cc88c7ea,1,"309",22935,0.9174%,0x5e07d95f6f13353d767169ad5f1f37080264c352aa0eb0c1db33c285ead698ad
27,0x444030530b229f35c8318e0877ec23b9a4dfa001,1,"209",22935,0.9174%,0x75d1274ab30d7a3acc95863e6c0cf060c44fb5bea5fef3b94341e55018457ce2
28,0x452c6a1a13b6c28f7a6bfea89a60c39d2e4f39c2,1,"54",22935,0.9174%,0x0624b1c36c7b96433ecc9a939814e54af54893b9e3bc0d6b3ff01f762dd18511
29,0x473a3c1e3459e957f1e23c5ebe43e79f95bf6c85,1,"19",22935,0.9174%,0x830cd46bef9e24b313f1cdab203a332a12ec88d1c0eaaff435724bee7ddc9511
30,0x4b3002e1d0ecbd31633506ae2c33027607f5d7b0,1,"20",22935,0.9174%,0x8cd1d7aee8075879b8fdd307923dfad5295e7cf24589b63d250c866b5d2edfbc
31,0x4bce2046c00df1e20fbcc21135c2fe7bef03345a,1,"69",22935,0.9174%,0xed6fffe50781ed3d635eecbdf57332eea6525db10d352732ee6d9a368a46027b
32,0x4c91d3bed372c11795b9ce9a9017dfe447bf050a,1,"3",22935,0.9174%,0x69008b3a3afa220d24dc34927573db6ea038430b857af3c7b164b819f123bb22
33,0x4ce021795aa70d084bbae996bf9d9adfd5a8fbe5,1,"176",22935,0.9174%,0x5c3ae282d8370b09379a60e2628bd62a60f09db64ef4b29bac6691fa15e6d208
34,0x4deefb53f4d8cfa69a8b8f3a4a35fedf1f24eaf9,1,"66",22935,0.9174%,0x127d4c7e57d15d1576ce35c35681cec5a6a80f6cc6e5860466ea4165b87ea010
35,0x4df3806bfdba47c19d9f884569fc0114ede8f8cf,1,"303",22935,0.9174%,0x291ec86a19b7c47262e2376783f9dfb903db369ae400628ff2afa2003d7ffda5
36,0x50d96de4112d58c566bdb1af78ff7bc457b1ffce,1,"316",22935,0.9174%,0xe374187dc8396488aeff1044bd8fa7db23327ed63582a8bfcd374d796b5d3ec6
